id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer,qc_status,qc_reason,qc_calibrated_score,qc_shared_chars,relabel_bucket,suggested_relation_tag,suggested_expected_range,suggested_score_0_100,relabel_note
116,红猪,星游记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,44.96,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
117,东京喰种,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,43.79,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
118,刺客伍六七,龙猫,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_high,42.87,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
119,一人之下,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,41.79,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
120,未闻花名,银魂,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,39.70,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
121,命运之夜,龙珠,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_high,39.07,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
122,游戏王,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,38.22,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
123,灌篮高手,罗小黑战记,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_high,36.38,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
124,灵笼,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top1_confusion,hard_negative_miner_v1,reject,calibrated_score_borderline,35.95,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
125,灵笼,犬夜叉,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_borderline,35.55,0,D_35_49,related_low,30-45,40,人工确认：是否应从 hard_negative_low 上调
126,未闻花名,咒术回战,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_borderline,34.19,0,E_0_34,hard_negative_low,0-25,15,人工确认：是否应从 hard_negative_low 上调
127,游戏王,白蛇缘起,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank2,hard_negative_miner_v1,reject,calibrated_score_borderline,31.18,0,E_0_34,hard_negative_low,0-25,15,人工确认：是否应从 hard_negative_low 上调
128,游戏王,虹猫蓝兔,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_borderline,29.95,0,E_0_34,hard_negative_low,0-25,15,人工确认：是否应从 hard_negative_low 上调
129,千与千寻,喜羊羊,动漫,动漫,hard_negative_low,0-25,15,failed_top3_confusion_rank3,hard_negative_miner_v1,reject,calibrated_score_borderline,28.53,0,E_0_34,hard_negative_low,0-25,15,人工确认：是否应从 hard_negative_low 上调
