text_a,text_b,score
啊哈哈,刘备,0.05
文天祥,陈奕迅,0.04
购物,甜品,0.05
演员,阿萨德,0.05
纪念品,游戏王,0.03
解答,皮雕,0.06
刮骨疗毒,关羽,0.85
运动,告白,0.07
猫咪,猫,0.9
画饼充饥,闻鸡起舞,0.09
关羽,刮骨疗毒,0.85
狗,猫咪,0.1
悬崖,逛馆,0.07
岳飞,岳飞,0.95
杜甫,诗圣,0.88
四面楚歌,天空之城,0.09
月份,陆游,0.05
森林,馄饨,0.09
教育,斗罗大陆,0.1
过图,网球王子,0.08
夜游,美术,0.06
云长,关羽,0.88
中秋,星云,0.06
刺绣,悬梁刺股,0.24
预习,入职,0.08
沙漠,卧薪尝胆,0.07
刘备,啊哈哈,0.05
火影,火影,0.93
以卵击石,张良,0.08
日出,刀剑神域,0.03
鬼灭之刃,鬼灭之刃,0.92
狗,猫咪,0.1
网购,麻花,0.05
真挚,失落,0.04
排球少年,退避三舍,0.1
借刀杀人,海岸,0.05
机械狼,机械狼,0.96
阿萨德,演员,0.05
谷雨,嫦娥,0.09
郑板桥,青花瓷,0.05
阿萨德,演员,0.05
忐忑,听写,0.02
玄德,刘备,0.88
猫咪,狗,0.1
教育,平静,0.04
孔明,诸葛亮,0.9
杜甫,诗圣,0.88
卧薪尝胆,指鹿为马,0.03
陆游,月份,0.05
负荆请罪,释然,0.07
猫咪,诸葛亮,0.05
猫咪,诸葛亮,0.05
庙会,庙会,0.92
狗,猫咪,0.1
猫,猫咪,0.9
测验,测验,0.95
走位,纸鸢,0.08
相声,相声,0.99
月食,青铜,0.07
吹笛者,饺子,0.07
猫,猫咪,0.9
关羽,云长,0.88
刮骨疗毒,关羽,0.85
拍手,淡定,0.04
啊哈哈,刘备,0.05
雨水,法学,0.05
麻花,对接,0.08
月饼,清明,0.08
画地为牢,做作业,0.03
狼人,昆曲,0.06
破釜沉舟,评书,0.04
铁公鸡,锦上添花,0.06
游戏王,游戏王,0.92
三令五申,搬家,0.06
稻田,露营,0.03
烦闷,白露,0.08
云长,关羽,0.88
夔牛,夔牛,0.94
辛弃疾,辛弃疾,0.95
程门立雪,失望,0.07
真空,真空,0.95
刘备,啊哈哈,0.05
值班,泡汤,0.04
糖葫芦,混血儿,0.07
青龙,青龙,0.95
夜游,夜游,0.97
猫咪,诸葛亮,0.05
走位,龙猫,0.03
一鸣惊人,过图,0.09
猫咪,猫,0.9
诸葛亮,猫咪,0.05
诸葛亮,猫咪,0.05
海贼王,火影,0.8
白露,亡羊补牢,0.08
火影,海贼王,0.8
蜻蜓点水,做实验,0.09
关羽,云长,0.88
刮骨疗毒,关羽,0.85
妖精尾巴,妖精尾巴,0.92
过图,后来我们,0.07
拿鸡毛,紧张,0.09
篆书,激动,0.09
读书,策略,0.08
升级,圣斗士,0.06
后羿,失望,0.03
斗破苍穹,斗破苍穹,0.92
弓步,匆匆那年,0.1
猫咪,猫,0.9
月份,陆游,0.05
平凡之路,刘德华,0.08
白狼王,狼狈为奸,0.21
月份,陆游,0.05
挥手,青之驱魔师,0.06
汤圆,汤圆,0.97
隐狼,螺蛳粉,0.04
小满,惋惜,0.09
玄德,刘备,0.88
告白,听讲,0.07
猫咪,诸葛亮,0.05
杜甫,诗圣,0.88
火影,海贼王,0.8
立冬,隐狼,0.08
云长,关羽,0.88
愧疚,后退,0.09
王安石,王安石,0.98
铁公鸡,向导,0.09
愤怒,愤怒,0.93
弹跳,黑执事,0.05
拿鸡毛,凿壁借光,0.03
星游记,翻滚,0.09
蜡笔小新,鲁迅,0.05
卡关,卡关,0.96
十年,火影,0.08
陆游,月份,0.05
四面楚歌,数学,0.04
刮骨疗毒,关羽,0.85
云长,关羽,0.88
刺客伍六七,海王星,0.08
心疼,寒露,0.06
篆刻,孟婆,0.07
邯郸学步,记忆,0.05
诗圣,杜甫,0.88
盘古,盘古,0.93
租车,舞狮,0.06
啊哈哈,刘备,0.05
年画,沙拉,0.07
诸葛亮,猫咪,0.05
读书,旋转,0.05
测绘,测绘,0.93
养宠,司马迁,0.06
自豪,自豪,0.91
关羽,云长,0.88
刘备,啊哈哈,0.05
立夏,疑惑,0.03
韩信,晚霞,0.07
狗,猫咪,0.1
俯卧,自检,0.08
刮骨疗毒,关羽,0.85
孔明,诸葛亮,0.9
孔明,诸葛亮,0.9
刺客伍六七,白蛇缘起,0.04
秀才遇鬼,张杰,0.08
猫咪,狗,0.1
猎魔人,纪念品,0.1
诸葛亮,孔明,0.9
管理,海阔天空,0.08
秀才遇鬼,预读,0.07
猫咪,诸葛亮,0.05
泡澡,泡澡,0.97
羡慕,羡慕,0.98
司马光,汤圆,0.05
地质,守墓人,0.06
狗,猫咪,0.1
挟天子,鲲鹏,0.08
转机,工程,0.03
刘备,玄德,0.88
狼人,嫉妒,0.04
星座,班固,0.02
王勃,土星,0.08
猎人,画饼充饥,0.05
闯关,调休,0.04
理财,海岸,0.06
完璧归赵,期待,0.07
火锅,火锅,0.95
庙会,张良,0.08
语文,清明,0.06
岳飞,代数,0.09
雨水,做实验,0.07
井然有序,井然有序,0.98
落地,旋转,0.08
刮骨疗毒,关羽,0.85
做题,模拟,0.06
激动,激动,0.96
催办,夜曲,0.1
灌篮高手,连麦,0.05
谭维维,蛋挞,0.09
楹联,韩愈,0.09
兔子尾巴,地理,0.02
古镇,古镇,0.97
月份,陆游,0.05
纸上谈兵,老鼠过街,0.07
井底之蛙,蜻蜓点水,0.02
牧场,孙燕姿,0.03
风之谷,驯熊师,0.09
樱花,订房,0.03
庄子,端午,0.05
啊哈哈,刘备,0.05
先知,转机,0.02
森林,踮脚,0.02
言叶之庭,文天祥,0.07
猫咪,狗,0.1
甜品,游戏王,0.04
诗圣,杜甫,0.88
火影,海贼王,0.8
闯关,地质,0.09
孔明,诸葛亮,0.9
火影,海贼王,0.8
豆花,抽卡,0.04
无聊,徒步,0.06
竹海,铁公鸡,0.03
云长,关羽,0.88
安心,张衡,0.06
演员,阿萨德,0.05
隐狼,老虎头上,0.04
关羽,刮骨疗毒,0.85
地理,迈步,0.06
视角,视角,0.92
代数,烦闷,0.09
网购,匆匆那年,0.09
花鼓,麒麟,0.08
稻香,瀑布,0.06
俯卧,租房,0.07
加班,灌篮高手,0.02
古城,古城,0.92
灯谜,盗贼,0.03
冷淡,动物,0.06
大雪,大雪,0.98
诸葛亮,孔明,0.9
月份,陆游,0.05
陆游,月份,0.05
狼美人,疲惫,0.06
纪念品,大禹,0.09
合成,酆都,0.08
狼骑士,跟进,0.05
关羽,云长,0.88
月食,火影,0.04
井底之蛙,晒衣,0.09
轨道,排期,0.05
小行星,小行星,0.92
井水不犯,白居易,0.03
咒术回战,秦时明月,0.1
禁锢者,刘德华,0.03
司马迁,掩耳盗铃,0.1
阿萨德,演员,0.05
升级,西王母,0.05
海贼王,火影,0.8
关羽,云长,0.88
书法,煎饼,0.03
流星雨,首领,0.06
烛龙,首领,0.08
许嵩,戏曲,0.07
舞狮,教育,0.03
泡芙,冷漠,0.08
月份,陆游,0.05
烧烤,跳跃,0.08
拓印,掉线,0.1
关羽,刮骨疗毒,0.85
感动,地球,0.04
无奈,期待,0.09
诸葛亮,孔明,0.9
猫咪,诸葛亮,0.05
豆腐,豆腐,0.93
洗漱,洗漱,0.93
写论文,写论文,0.92
匆匆那年,匆匆那年,0.94
诸葛亮,孔明,0.9
影子,影子,0.96
关羽,刮骨疗毒,0.85
青铜,邯郸学步,0.07
守墓人,守墓人,0.96
言叶之庭,言叶之庭,0.93
猫咪,诸葛亮,0.05
啊哈哈,刘备,0.05
演员,阿萨德,0.05
理解,辛弃疾,0.05
井水不犯,熊出没,0.07
刘备,玄德,0.88
刮骨疗毒,关羽,0.85
秦始皇,秦始皇,0.93
疲惫,疲惫,0.94
背水一战,八仙过海,0.07
挤压,挤压,0.97
摄梦人,上课,0.05
狼美人,失落,0.03
心猿意马,祖冲之,0.07
药学,丹霞,0.05
腊八,旋转,0.1
井底之蛙,秋分,0.09
温馨,圣斗士,0.03
招聘,抄写,0.06
投笔从戎,安心,0.1
张良,罗小黑战记,0.09
腊八,光年,0.05
惆怅,同舟共济,0.04
刮骨疗毒,关羽,0.85
关羽,云长,0.88
守口如瓶,守口如瓶,0.99
小年,沙漠,0.1
逻辑,皮肤,0.04
听课,羡慕,0.06
惬意,星游记,0.03
刘备,啊哈哈,0.05
上线,对症下药,0.08
劳动节,查阅,0.08
迷茫,叶公好龙,0.05
惆怅,后羿,0.1
孤寂,孤寂,0.92
淡定,樱花,0.04
约法三章,约法三章,0.94
掉落,杯水车薪,0.09
麻雀虽小,物理,0.06
觅食,一箭双雕,0.04
云长,关羽,0.88
欣喜,刑天,0.05
猫咪,猫,0.9
诸葛亮,猫咪,0.05
杯弓蛇影,理发,0.06
一鸣惊人,一鸣惊人,0.91
庙会,愉快,0.06
刘备,玄德,0.88
刘备,玄德,0.88
生态,杨千嬅,0.06
杜甫,诗圣,0.88
猫咪,诸葛亮,0.05
掉落,女娲,0.07
韩愈,吹笛者,0.07
预备役,自检,0.06
震撼,震惊,0.4
猫,猫咪,0.9
震惊,欣慰,0.06
社火,社火,0.9
猫咪,猫,0.9
震惊,掉落,0.04
汉堡,湖畔,0.06
装修,培训,0.07
化学,天体,0.09
刘备,玄德,0.88
冰淇淋,订票,0.05
讲解,漫步,0.09
晚睡,解谜,0.02
疲惫,拍照,0.04
伤心,火影,0.05
暗能量,暗能量,0.98
水星,疲惫,0.06
诸葛亮,猫咪,0.05
猫,猫咪,0.9
自驾,上线,0.06
辛弃疾,韩愈,0.08
石桥,七夕,0.04
火影,海贼王,0.8
安心,安心,0.94
陨石,泥塑,0.04
祭司,朱雀,0.05
猫咪,狗,0.1
稻田,玄武,0.03
挟天子,查阅,0.06
转机,同舟共济,0.04
薛之谦,八面玲珑,0.1
瓜田李下,拍景,0.07
空间站,王力宏,0.05
后来我们,后来我们,0.96
林俊杰,林俊杰,0.96
画饼充饥,顺水推舟,0.03
阿萨德,演员,0.05
蒲松龄,惆怅,0.09
虹猫蓝兔,徒步,0.03
果汁,做实验,0.05
虹猫蓝兔,政治,0.03
日食,舞狮,0.08
立冬,会议,0.09
心猿意马,行星,0.06
诸葛亮,孔明,0.9
关羽,刮骨疗毒,0.85
答辩,走位,0.09
陨石,望梅止渴,0.03
海贼王,火影,0.8
关羽,云长,0.88
预言家,预言家,0.93
告白气球,练习,0.09
刮骨疗毒,关羽,0.85
谭维维,社火,0.08
望梅止渴,材料,0.1
掉线,感动,0.04
海阔天空,杜甫,0.08
无奈,通风,0.02
亡羊补牢,查阅,0.1
诸葛亮,孔明,0.9
舞狮,立项,0.07
数码宝贝,火影,0.06
需求,伏羲,0.07
关羽,云长,0.88
云长,关羽,0.88
盗贼,整理,0.1
啊哈哈,刘备,0.05
玄德,刘备,0.88
火影,海贼王,0.8
晒衣,哆啦A梦,0.05
云长,关羽,0.88
刘备,玄德,0.88
香道,温馨,0.09
看夜景,云雾,0.07
土星,匆匆那年,0.07
海贼王,火影,0.8
游戏王,游戏王,0.91
小葱拌豆腐,小葱拌豆腐,0.92
关羽,云长,0.88
立秋,代数,0.05
月份,陆游,0.05
组队,组队,0.94
云长,关羽,0.88
海贼王,火影,0.8
王菲,斗罗大陆,0.03
最美的期待,千与千寻,0.02
愤懑,蔡依林,0.07
排球少年,鬼灭之刃,0.03
土星,名不副实,0.09
猫咪,狗,0.1
刘备,啊哈哈,0.05
一鸣惊人,冬至,0.05
八仙过海,投标,0.1
孔明,诸葛亮,0.9
物理,挟天子,0.04
刘备,玄德,0.88
狗,猫咪,0.1
暗能量,女魃,0.07
复盘,复盘,0.94
处暑,石桥,0.07
纸上谈兵,邓紫棋,0.07
韩愈,平凡之路,0.09
阎罗,白泽,0.09
白蛇缘起,排位,0.05
批改,挥手,0.07
中秋,走位,0.03
许嵩,豆腐,0.06
魔女宅急便,魔女宅急便,0.94
诸葛亮,猫咪,0.05
图穷匕见,画蛇添足,0.08
陆游,月份,0.05
羞愧,触龙说赵,0.1
需求,需求,0.91
四面楚歌,起风了,0.03
饕餮,元旦,0.05
购物,购物,0.9
管理,集章,0.08
刷本,下线,0.07
幽游白书,告白气球,0.23
画地为牢,行李,0.02
啊哈哈,刘备,0.05
哲学,七夕,0.06
动物,药学,0.06
狗,猫咪,0.1
魔女宅急便,真空,0.04
八仙过海,预言家,0.05
抄写,听课,0.1
守株待兔,思念,0.06
猫咪,猫,0.9
杜甫,诗圣,0.88
火影,海贼王,0.8
后羿,后羿,0.94
秀才遇鬼,秀才遇鬼,0.95
测试,测试,0.9
排期,铃芽之旅,0.07
刘备,啊哈哈,0.05
春节,疲惫,0.04
星云,外星人,0.34
孔子,十年,0.09
植物,轻松,0.1
啊哈哈,刘备,0.05
懊悔,谭维维,0.08
铁公鸡,挤压,0.03
元旦,经济,0.04
考试,一字千金,0.07
趁热打铁,暗能量,0.08
墙头草,停下,0.05
龙珠,逛馆,0.03
审核,上网,0.06
皮影,咖喱,0.09
负荆请罪,泥塑,0.08
猫咪,狗,0.1
猫咪,狗,0.1
销假,悬梁刺股,0.04
厌烦,林俊杰,0.06
司马迁,司马迁,0.9
李白,影子,0.04
酸辣粉,石桥,0.1
全职高手,皮雕,0.07
陆游,月份,0.05
愤懑,愤懑,0.91
剪纸,天空之城,0.04
告白,欣慰,0.08
元旦,化学,0.09
熊,端午,0.03
默写,大禹,0.08
狗,猫咪,0.1
小雪,猎人,0.1
铁杵磨针,麻花,0.09
煎饼,悬梁刺股,0.07
陆游,攻略,0.09
订票,技能,0.06
热切,十年,0.03
盘腿,茶园,0.06
青铜,影子,0.08
赶鸭子上架,做实验,0.05
小葱拌豆腐,守护神,0.05
卧冰求鲤,玄鸟,0.09
火影,海贼王,0.8
魔女宅急便,掉线,0.1
馒头,同舟共济,0.02
隐狼,隐狼,0.91
猫,猫咪,0.9
周报,盲人摸象,0.06
张良,下线,0.07
孔明,诸葛亮,0.9
寒露,画地为牢,0.03
落座,落座,0.98
杜甫,诗圣,0.88
排球少年,杨千嬅,0.05
咒术回战,咒术回战,0.98
猫咪,猫,0.9
单机,祝融,0.1
石桥,夏目友人帐,0.09
安检,拉怪,0.02
刘备,啊哈哈,0.05
诸葛亮,猫咪,0.05
玄德,刘备,0.88
惊喜,惊喜,0.95
鹤立鸡群,鹤立鸡群,0.94
咖喱,倒挂,0.09
郑板桥,控蓝,0.03
预言家,木偶,0.09
刘备,啊哈哈,0.05
打扫,先知,0.09
月饼,月饼,0.93
通灵师,通灵师,0.96
做饭,激昂,0.09
烦闷,夸父,0.06
狗,猫咪,0.1
感恩节,纸鸢,0.08
玄德,刘备,0.88
猫,猫咪,0.9
越剧,越剧,0.94
猫咪,诸葛亮,0.05
黑执事,烤鸭,0.07
黄鼠狼拜年,技能,0.08
那英,那英,0.9
杜甫,诗圣,0.88
井底之蛙,井底之蛙,0.97
修灯,修灯,0.93
啊哈哈,刘备,0.05
刘备,啊哈哈,0.05
滑行,晴天,0.09
郑板桥,银河,0.04
果汁,剪纸,0.07
夏至,皮影,0.07
担忧,香道,0.07
寿司,寿司,0.98
玄德,刘备,0.88
安心,担忧,0.06
卫星,杨千嬅,0.07
肉夹馍,肉夹馍,0.97
三令五申,挥手,0.06
云长,关羽,0.88
全职猎人,惊喜,0.07
起身,灯谜,0.07
辛弃疾,潜狼,0.05
讲解,失望,0.05
晚霞,晚霞,0.95
刘备,啊哈哈,0.05
猫咪,猫,0.9
阿萨德,演员,0.05
烧烤,烧烤,0.96
火影,海贼王,0.8
守株待兔,礁石,0.04
柳宗元,懊悔,0.05
狼人,狼人,0.95
跟踪,小葱拌豆腐,0.09
陶瓷,劳动节,0.08
阿萨德,演员,0.05
解谜,解谜,0.92
猫,猫咪,0.9
阿萨德,演员,0.05
孔明,诸葛亮,0.9
井然有序,国画,0.08
鲁迅,做饭,0.07
啊哈哈,刘备,0.05
匹配,催办,0.03
依恋,酸辣粉,0.1
刮骨疗毒,关羽,0.85
诸葛亮,猫咪,0.05
立春,侧步,0.05
海浪,追剧,0.05
公会,天体,0.09
运动,天王星,0.05
玄德,刘备,0.88
云长,关羽,0.88
关羽,云长,0.88
草船借箭,镇魂街,0.02
张学友,盘腿,0.03
完璧归赵,完璧归赵,0.92
医学,篆刻,0.05
旋转,记忆,0.03
自相矛盾,墙头草,0.07
远程,借刀杀人,0.1
蛋挞,平静,0.05
诸葛亮,猫咪,0.05
猫咪,猫,0.9
同舟共济,同舟共济,0.92
啊哈哈,刘备,0.05
材料,玄女,0.06
心酸,鬼灭之刃,0.07
阿萨德,演员,0.05
狗,猫咪,0.1
关羽,刮骨疗毒,0.85
对接,馄饨,0.07
饕餮,月饼,0.07
演员,阿萨德,0.05
托运,土星,0.09
黑洞,年画,0.03
云长,关羽,0.88
茶园,元宵,0.05
提问,投标,0.03
感恩节,猎魔人,0.07
按兵不动,抬头,0.06
看展,期待,0.03
关羽,刮骨疗毒,0.85
火影,海贼王,0.8
猫咪,诸葛亮,0.05
陆游,月份,0.05
篆书,测验,0.06
石雕,听课,0.1
社会,指鹿为马,0.07
讨论,讨论,0.93
梁静茹,轻松,0.05
欣喜,趁热打铁,0.03
猫,猫咪,0.9
猫,猫咪,0.9
欣赏,竹篮打水,0.03
篆刻,签证,0.06
技能,蹲下,0.09
孔明,诸葛亮,0.9
气候,上网,0.08
跳跃,感动,0.07
杜甫,诗圣,0.88
依恋,草原,0.03
关羽,刮骨疗毒,0.85
煎饼,铃芽之旅,0.1
演员,阿萨德,0.05
阿萨德,演员,0.05
自驾,自驾,0.95
诗圣,杜甫,0.88
批改,寿司,0.08
白泽,白泽,0.97
订票,樱花,0.07
刘备,啊哈哈,0.05
刘备,玄德,0.88
井水不犯,查阅,0.08
不良人,元宵,0.06
孤寂,挥拳,0.03
守株待兔,持之以恒,0.07
跟进,做题,0.1
免税,平凡之路,0.06
海贼王,火影,0.8
画龙点睛,画龙点睛,0.92
西王母,害怕,0.07
火影,海贼王,0.8
刘备,啊哈哈,0.05
峡谷,峡谷,0.99
预言家,预言家,0.94
阿萨德,演员,0.05
那英,圣诞,0.1
烤鱼,丹霞,0.07
火锅,解答,0.06
泥塑,泥塑,0.91
讲解,后退,0.07
狗,猫咪,0.1
玄德,刘备,0.88
青之驱魔师,后羿,0.04
演员,阿萨德,0.05
墙头草,寒露,0.06
联机,火箭,0.06
花木兰,鲁迅,0.07
狼王,狼王,0.98
竹竿进城,祝融,0.07
猫咪,狗,0.1
拿鸡毛,拿鸡毛,0.99
诸葛亮,孔明,0.9
杜甫,诗圣,0.88
元宵,忐忑,0.1
划点,纸上谈兵,0.09
陆游,月份,0.05
诸葛亮,孔明,0.9
守护神,烧烤,0.08
村民,饕餮,0.03
谭维维,惊蛰,0.05
陆游,月份,0.05
卧薪尝胆,冲茶,0.04
上线,做梦,0.07
花灯,花灯,0.99
刘备,玄德,0.88
猫咪,诸葛亮,0.05
刮骨疗毒,修灯,0.06
泡汤,泥塑,0.08
云长,关羽,0.88
猫,猫咪,0.9
火影,海贼王,0.8
诸葛亮,孔明,0.9
禁言长老,麒麟,0.08
刘备,玄德,0.88
计算,计算,0.96
猫咪,猫,0.9
杯弓蛇影,销假,0.03
哪吒,油菜花,0.05
陆游,陆游,0.93
雪峰,麒麟,0.03
诸葛亮,孔明,0.9
诸葛亮,孔明,0.9
排期,懊悔,0.04
刘备,啊哈哈,0.05
刘备,啊哈哈,0.05
老虎头上,滥竽充数,0.04
猫咪,猫,0.9
百发百中,护肤,0.04
刘备,啊哈哈,0.05
卫星,轻松,0.06
玄德,刘备,0.88
船到桥头,负荆请罪,0.04
晚睡,托运,0.07
感恩节,远程,0.03
演员,阿萨德,0.05
俯冲,按兵不动,0.05
教育,斗罗大陆,0.07
负薪读书,离职,0.04
海贼王,火影,0.8
关羽,云长,0.88
诸葛亮,孔明,0.9
激动,约法三章,0.08
水星,望远镜,0.04
拓印,单刀赴会,0.08
秧歌,惊讶,0.03
哲学,刑天,0.05
政治,合成,0.05
豆浆,心猿意马,0.03
白蛇缘起,评书,0.1
火影,海贼王,0.8
诗圣,杜甫,0.88
铃芽之旅,铃芽之旅,0.99
书法,书法,0.92
读档,母亲节,0.04
动物,值班,0.03
阿萨德,演员,0.05
猫咪,狗,0.1
火影,海贼王,0.8
走位,起身,0.07
王安石,王安石,0.95
天气之子,天气之子,0.91
云雾,云雾,0.99
梦魇,刻舟求剑,0.09
猫咪,猫,0.9
守株待兔,沙盒,0.07
测绘,麻雀虽小,0.05
老马识途,老马识途,0.93
羞怯,坦诚,0.07
玄德,刘备,0.88
文学,共工,0.04
整理,许嵩,0.06
逻辑,逻辑,0.94
猫咪,狗,0.1
杜甫,诗圣,0.88
演员,阿萨德,0.05
花鼓,控蓝,0.07
咖喱,预习,0.1
护肤,蜻蜓点水,0.09
杜甫,诗圣,0.88
愉快,水星,0.05
山谷,整理,0.06
溪流,打卡,0.05
进击的巨人,敬佩,0.09
啊哈哈,刘备,0.05
演示,演示,0.92
咖喱,酸辣粉,0.08
排位,逻辑,0.06
狼狈为奸,狼狈为奸,0.92
读书,李时珍,0.03
园艺,园艺,0.91
大公无私,迷茫,0.08
挤压,羡慕,0.06
卡关,禁言长老,0.08
竹竿进城,竹竿进城,0.95
听课,木星,0.06
猫咪,猫,0.9
嫉妒,月球,0.07
刮骨疗毒,关羽,0.85
预备役,预备役,0.92
疲惫,烦闷,0.09
复述,社火,0.03
刮骨疗毒,关羽,0.85
听写,听写,0.96
平凡之路,起床,0.06
一拳超人,一拳超人,0.95
惊讶,三顾茅庐,0.04
孔明,诸葛亮,0.9
漫步,女巫,0.1
工程,腊八,0.02
诸葛亮,猫咪,0.05
天气之子,石像鬼,0.08
诸葛亮,孔明,0.9
和尚打伞,升职,0.03
酸辣粉,追剧,0.09
犬夜叉,犬夜叉,0.94
登顶,腾挪,0.04
诗圣,杜甫,0.88
机械狼,炸鸡,0.1
披萨,愧疚,0.06
热切,整理,0.08
手柄,冬至,0.06
东京喰种,东京喰种,0.92
刮骨疗毒,关羽,0.85
啊哈哈,刘备,0.05
刮骨疗毒,关羽,0.85
上网,翻译,0.02
猫咪,狗,0.1
火影,海贼王,0.8
先知,哆啦A梦,0.1
咒术回战,冰淇淋,0.08
温柔,做梦,0.03
心疼,跟踪,0.07
豆腐,望梅止渴,0.04
邮轮,敬佩,0.03
漫步,晚霞,0.09
狗,猫咪,0.1
苦闷,白居易,0.07
里程碑,单机,0.05
猫,猫咪,0.9
海贼王,火影,0.8
对症下药,圣诞,0.05
刮骨疗毒,卫星,0.08
开荒,开荒,0.98
李清照,李清照,0.92
星系,斗破苍穹,0.03
中秋,守口如瓶,0.07
刘备,啊哈哈,0.05
小葱拌豆腐,演示,0.1
刘德华,魔术师,0.06
薛之谦,坦诚,0.04
卫星,修灯,0.03
诸葛亮,猫咪,0.05
冷漠,踮脚,0.06
狗,猫咪,0.1
司马光,樱花,0.06
背水一战,背水一战,0.94
羞涩,背包,0.07
陨石,陨石,0.94
猫咪,诸葛亮,0.05
黑执事,孔子,0.06
天体,亡羊补牢,0.04
拍景,登机,0.04
八面玲珑,八面玲珑,0.96
诸葛亮,猫咪,0.05
通风,苦闷,0.06
修灯,搬家,0.07
关羽,刮骨疗毒,0.85
言叶之庭,忐忑,0.1
火箭,风之谷,0.05
复述,心疼,0.07
云长,关羽,0.88
暗物质,复活节,0.08
握拳,火影,0.03
青铜,青铜,0.96
果汁,阅读,0.06
兴奋,烤鱼,0.08
云长,关羽,0.88
政治,震撼,0.04
村民,坐船,0.09
张衡,大鱼海棠,0.09
月份,陆游,0.05
翻译,兔子尾巴,0.03
关羽,云长,0.88
火影,海贼王,0.8
狗,猫咪,0.1
屈原,背包,0.07
空间站,周报,0.08
诸葛亮,猫咪,0.05
破釜沉舟,破釜沉舟,0.97
取件,青之驱魔师,0.1
月份,陆游,0.05
阿萨德,演员,0.05
对症下药,联机,0.03
猫咪,猫,0.9
大暑,关羽,0.08
许嵩,祭司,0.05
土星,日出,0.09
愤懑,首领,0.09
张学友,租房,0.05
阅读,前进,0.02
谷雨,震撼,0.08
迈步,上网,0.08
锦上添花,逻辑,0.04
猫咪,诸葛亮,0.05
刘备,玄德,0.88
熬夜,塔防,0.03
草原,复活节,0.03
李白,竹编,0.06
美术,破釜沉舟,0.08
火箭,喜悦,0.08
玄德,刘备,0.88
玄德,刘备,0.88
演员,阿萨德,0.05
法学,石雕,0.05
惬意,愤懑,0.09
写论文,写论文,0.91
铃芽之旅,铃芽之旅,0.91
血月使者,瀑布,0.07
百发百中,汇报,0.1
刮骨疗毒,关羽,0.85
轻松,居安思危,0.07
关羽,云长,0.88
握拳,张信哲,0.08
持之以恒,水星,0.07
月份,陆游,0.05
掉落,抬手,0.06
晴天,梁静茹,0.06
邯郸学步,邯郸学步,0.98
关羽,云长,0.88
猫,猫咪,0.9
海贼王,火影,0.8
幽游白书,周深,0.09
不良人,伸展,0.06
杜甫,诗圣,0.88
愤懑,愤懑,0.9
轻松,教程,0.05
井底之蛙,炸鸡,0.04
冲茶,光年之外,0.03
退避三舍,名侦探柯南,0.04
云长,关羽,0.88
演员,阿萨德,0.05
诸葛亮,孔明,0.9
亡羊补牢,龙舟,0.05
酆都,远程,0.06
火影,海贼王,0.8
关羽,云长,0.88
猫咪,诸葛亮,0.05
守夜人,瀑布,0.03
晴天,陨石,0.05
喜羊羊,失望,0.03
狗,猫咪,0.1
儿童节,糖葫芦,0.06
拉怪,百发百中,0.08
担忧,担忧,0.94
演员,阿萨德,0.05
望梅止渴,听课,0.1
琴棋,琴棋,0.96
查阅,查阅,0.99
关羽,云长,0.88
孔明,诸葛亮,0.9
奔跑,手柄,0.06
晚睡,地质,0.09
掩耳盗铃,掩耳盗铃,0.93
解答,心酸,0.05
上网,上网,0.99
蜻蜓点水,洗衣,0.02
阿萨德,演员,0.05
瞎子点灯,激昂,0.04
数码宝贝,霜降,0.04
儿童节,招聘,0.07
泥塑,韩愈,0.07
云长,关羽,0.88
柳宗元,投标,0.09
庙会,背诵,0.04
月份,陆游,0.05
哆啦A梦,河伯,0.09
粽子,礁石,0.07
司马光,触龙说赵,0.05
八面玲珑,惋惜,0.09
木偶,守株待兔,0.04
蛋挞,蛋挞,0.96
油菜花,元旦,0.04
孔明,诸葛亮,0.9
演员,阿萨德,0.05
刘备,玄德,0.88
星系,溪流,0.07
登楼,八仙过海,0.06
白痴,白痴,0.93
潜伏,潜伏,0.91
关羽,刮骨疗毒,0.85
海贼王,火影,0.8
猫咪,诸葛亮,0.05
小雪,孙悟空,0.06
盘腿,盘腿,0.98
敬佩,孙悟空,0.1
狗尾续貂,酸辣粉,0.03
练习,骑士,0.08
闯关,谭维维,0.06
汉堡,集章,0.06
月份,陆游,0.05
失落,张信哲,0.02
草甸,草甸,0.99
懊悔,出境,0.05
香道,刘德华,0.03
转机,转机,0.99
居安思危,居安思危,0.91
茶道,茶道,0.97
猫咪,诸葛亮,0.05
青之驱魔师,李清照,0.07
锦上添花,心猿意马,0.07
春节,暴击,0.04
豆腐,上线,0.1
无奈,画地为牢,0.08
羡慕,惬意,0.07
灯谜,调休,0.1
关羽,刮骨疗毒,0.85
关羽,云长,0.88
猫,猫咪,0.9
诸葛亮,孔明,0.9
大暑,平和,0.06
溪流,相声,0.06
红猪,铃芽之旅,0.02
诗圣,杜甫,0.88
欣慰,翻译,0.08
守护神,蹒跚,0.07
啊哈哈,刘备,0.05
元旦,雷公,0.05
小葱拌豆腐,望梅止渴,0.08
欣慰,持之以恒,0.05
演员,阿萨德,0.05
羞怯,交接,0.05
猫咪,诸葛亮,0.05
刀剑神域,刀剑神域,0.93
白虎,立冬,0.07
退避三舍,退避三舍,0.91
腾挪,外星人,0.07
花木兰,护肤,0.08
陶瓷,方案,0.05
