id,word_a,word_b,category_a,category_b,relation_tag,expected_range,score_0_100,reason,reviewer
359,通勤,激动,生活,感情,cross_category,0-40,5,二者毫无关联,
360,篆书,馄饨,文化,美食,cross_category,0-40,5,二者毫无关联,
361,游戏王,历史,动漫,学科,cross_category,0-40,5,二者毫无关联,
362,唇亡齿寒,编钟,成语,文化,cross_category,0-40,5,二者毫无关联,
363,匆匆那年,调休,歌曲,工作,cross_category,0-40,5,二者毫无关联,
364,死神,张衡,动漫,人物,cross_category,0-40,5,二者毫无关联,
365,解答,悲伤,学习,感情,cross_category,0-40,5,二者毫无关联,
366,拍手,丹霞,动作,风景,cross_category,0-40,5,二者毫无关联,
367,里程碑,网球王子,工作,动漫,cross_category,0-40,5,二者毫无关联,
368,梁静茹,开荒,歌手,游戏,cross_category,0-40,5,二者毫无关联,
369,落地,羡慕,工作,感情,cross_category,0-40,5,二者毫无关联,
370,谷雨,孙燕姿,节日,歌手,cross_category,0-40,5,二者毫无关联,
371,猪八戒照镜,汤圆,歇后语,美食,cross_category,0-40,5,二者毫无关联,
372,谭维维,紧张,歌手,感情,cross_category,0-40,5,二者毫无关联,
373,排球少年,观光,动漫,旅游,cross_category,0-40,5,二者毫无关联,
374,花灯,立冬,文化,节日,cross_category,0-40,5,二者毫无关联,
375,柳宗元,点头,人物,动作,cross_category,0-40,5,二者毫无关联,
376,烧饼,张杰,美食,歌手,cross_category,0-40,5,二者毫无关联,
377,演员,民宿,歌曲,旅游,cross_category,0-40,5,二者毫无关联,
378,狼美人,后来我们,狼人杀,歌曲,cross_category,0-40,5,二者毫无关联,
379,星座,伤心,宇宙,感情,cross_category,0-40,5,二者毫无关联,
380,红移,迈步,宇宙,动作,cross_category,0-40,5,二者毫无关联,
381,小年,刘德华,节日,歌手,cross_category,0-40,5,二者毫无关联,
382,排期,山谷,工作,风景,cross_category,0-40,5,二者毫无关联,
383,俯卧,丹霞,动作,风景,cross_category,0-40,5,二者毫无关联,
384,开荒,皮雕,游戏,文化,cross_category,0-40,5,二者毫无关联,
385,策略,社火,游戏,文化,cross_category,0-40,5,二者毫无关联,
386,欣喜,连击,情感,游戏,cross_category,0-40,5,二者毫无关联,
387,订房,灯谜,旅游,文化,cross_category,0-40,5,二者毫无关联,
388,邓紫棋,刺客伍六七,歌手,动漫,cross_category,0-40,5,二者毫无关联,
389,张信哲,闯关,歌手,游戏,cross_category,0-40,5,二者毫无关联,
390,愤怒,后羿,感情,神话,cross_category,0-40,5,二者毫无关联,
391,草甸,赶鸭子上架,风景,歇后语,cross_category,0-40,5,二者毫无关联,
392,草船借箭,守卫,典故,狼人杀,cross_category,0-40,5,二者毫无关联,
393,会议,震惊,工作,情感,cross_category,0-40,5,二者毫无关联,
394,花鼓,破釜沉舟,文化,典故,cross_category,0-40,5,二者毫无关联,
395,观光,一字千金,旅游,典故,cross_category,0-40,5,二者毫无关联,
396,排球少年,白泽,动漫,神话,cross_category,0-40,5,二者毫无关联,
397,惊恐,激动,情感,感情,cross_category,0-40,5,二者毫无关联,
398,溪流,演员,风景,歌曲,cross_category,0-40,5,二者毫无关联,
399,做梦,拍景,生活,旅游,cross_category,0-40,5,二者毫无关联,
400,烛龙,释怀,神话,情感,cross_category,0-40,5,二者毫无关联,
401,刘德华,花田,歌手,风景,cross_category,0-40,5,二者毫无关联,
402,数码宝贝,登楼,动漫,旅游,cross_category,0-40,5,二者毫无关联,
403,书法,青花瓷,文化,歌曲,cross_category,0-40,5,二者毫无关联,
404,狗咬吕洞宾,晚霞,歇后语,风景,cross_category,0-40,5,二者毫无关联,
405,引力,夸父,宇宙,神话,cross_category,0-40,5,二者毫无关联,
406,月球,背诵,宇宙,学习,cross_category,0-40,5,二者毫无关联,
407,背包,约法三章,旅游,典故,cross_category,0-40,5,二者毫无关联,
408,张学友,护理,歌手,学科,cross_category,0-40,5,二者毫无关联,
409,护肤,王羲之,生活,人物,cross_category,0-40,5,二者毫无关联,
410,做题,青花瓷,学习,歌曲,cross_category,0-40,5,二者毫无关联,
411,背包,十年,旅游,歌曲,cross_category,0-40,5,二者毫无关联,
412,温馨,瓜田李下,感情,歇后语,cross_category,0-40,5,二者毫无关联,
413,卧冰求鲤,洗碗,典故,生活,cross_category,0-40,5,二者毫无关联,
414,端午,湖泊,节日,风景,cross_category,0-40,5,二者毫无关联,
415,精卫,负荆请罪,神话,典故,cross_category,0-40,5,二者毫无关联,
416,跟踪,小笼包,工作,美食,cross_category,0-40,5,二者毫无关联,
417,批改,指鹿为马,学习,典故,cross_category,0-40,5,二者毫无关联,
418,隐狼,羞愧,狼人杀,感情,cross_category,0-40,5,二者毫无关联,
419,雨水,馄饨,节日,美食,cross_category,0-40,5,二者毫无关联,
420,愧疚,船到桥头,情感,歇后语,cross_category,0-40,5,二者毫无关联,
421,斗破苍穹,天体,动漫,学科,cross_category,0-40,5,二者毫无关联,
422,烧烤,大公无私,美食,成语,cross_category,0-40,5,二者毫无关联,
423,刷牙,晾晒,生活,生活,same_category,60-70,5,二者毫无关联,
424,樱花,转身,风景,动作,cross_category,0-40,5,二者毫无关联,
425,蒲松龄,纸上谈兵,人物,典故,cross_category,0-40,5,二者毫无关联,
426,刑天,招聘,神话,工作,cross_category,0-40,5,二者毫无关联,
427,滥竽充数,气候,成语,学科,cross_category,0-40,5,二者毫无关联,
428,淋浴,立春,生活,节日,cross_category,0-40,5,二者毫无关联,
429,瞎子戴眼镜,雪峰,歇后语,风景,cross_category,0-40,5,二者毫无关联,
430,最美的期待,铃芽之旅,歌曲,动漫,cross_category,0-40,5,二者毫无关联,
431,光年之外,咒术回战,歌曲,动漫,cross_category,0-40,5,二者毫无关联,
432,你的名字,总结,动漫,学习,cross_category,0-40,5,二者毫无关联,
433,樱桃小丸子,按部就班,动漫,成语,cross_category,0-40,5,二者毫无关联,
434,中秋,护肤,节日,生活,cross_category,0-40,5,二者毫无关联,
435,守株待兔,仰卧,成语,动作,cross_category,0-40,5,二者毫无关联,
436,狼骑士,做家务,狼人杀,生活,cross_category,0-40,5,二者毫无关联,
437,洗碗,禁言长老,生活,狼人杀,cross_category,0-40,5,二者毫无关联,
438,东京喰种,牛排,动漫,美食,cross_category,0-40,5,二者毫无关联,
439,冰川,通灵师,风景,狼人杀,cross_category,0-40,5,二者毫无关联,
440,火箭,愧疚,宇宙,情感,cross_category,0-40,5,二者毫无关联,
441,上线,夏至,工作,节日,cross_category,0-40,5,二者毫无关联,
442,早起,西王母,生活,神话,cross_category,0-40,5,二者毫无关联,
443,惊讶,清明,感情,节日,cross_category,0-40,5,二者毫无关联,
444,烛龙,守夜人,神话,狼人杀,cross_category,0-40,5,二者毫无关联,
445,李时珍,点头,人物,动作,cross_category,0-40,5,二者毫无关联,
446,黑洞,水星,宇宙,宇宙,same_category,60-70,5,二者毫无关联,
447,全职高手,酸辣粉,动漫,美食,cross_category,0-40,5,二者毫无关联,
448,摘记,处暑,学习,节日,cross_category,0-40,5,二者毫无关联,
449,斗破苍穹,答辩,动漫,学习,cross_category,0-40,5,二者毫无关联,
450,应龙,铁公鸡,神话,歇后语,cross_category,0-40,5,二者毫无关联,
451,闯关,星游记,游戏,动漫,cross_category,0-40,5,二者毫无关联,
452,油菜花,催办,风景,工作,cross_category,0-40,5,二者毫无关联,
453,草甸,滥竽充数,风景,成语,cross_category,0-40,5,二者毫无关联,
454,前进,入职,动作,工作,cross_category,0-40,5,二者毫无关联,
455,文学,披萨,学科,美食,cross_category,0-40,5,二者毫无关联,
456,星球,铃芽之旅,宇宙,动漫,cross_category,0-40,5,二者毫无关联,
457,丹霞,风之谷,风景,动漫,cross_category,0-40,5,二者毫无关联,
458,卧冰求鲤,臭豆腐,典故,美食,cross_category,0-40,5,二者毫无关联,
459,嫦娥,预备役,神话,狼人杀,cross_category,0-40,5,二者毫无关联,
460,起风了,演示,歌曲,学习,cross_category,0-40,5,二者毫无关联,
461,欣赏,小溪,情感,风景,cross_category,0-40,5,二者毫无关联,
462,上网,纸里包火,生活,歇后语,cross_category,0-40,5,二者毫无关联,
463,祖冲之,苏轼,人物,人物,same_category,60-70,5,二者毫无关联,
464,精卫,刑天,神话,神话,same_category,60-70,5,二者毫无关联,
465,礁石,总结,风景,学习,cross_category,0-40,5,二者毫无关联,
466,逛馆,进击的巨人,旅游,动漫,cross_category,0-40,5,二者毫无关联,
467,四面楚歌,对齐,典故,工作,cross_category,0-40,5,二者毫无关联,
468,推挡,露台,动作,旅游,cross_category,0-40,5,二者毫无关联,
469,山脊,玄武,风景,神话,cross_category,0-40,5,二者毫无关联,
470,体面,翻译,歌曲,学习,cross_category,0-40,5,二者毫无关联,
471,晒衣,惬意,生活,感情,cross_category,0-40,5,二者毫无关联,
472,井然有序,宇宙,成语,宇宙,cross_category,0-40,5,二者毫无关联,
473,海贼王,李清照,动漫,人物,cross_category,0-40,5,二者毫无关联,
474,转身,未闻花名,动作,动漫,cross_category,0-40,5,二者毫无关联,
475,体面,画饼充饥,歌曲,成语,cross_category,0-40,5,二者毫无关联,
476,抄写,居安思危,学习,典故,cross_category,0-40,5,二者毫无关联,
477,四面楚歌,语文,典故,学科,cross_category,0-40,5,二者毫无关联,
478,策略,通风,游戏,生活,cross_category,0-40,5,二者毫无关联,
479,杨千嬅,化学,歌手,学科,cross_category,0-40,5,二者毫无关联,
480,茶园,鲁迅,风景,人物,cross_category,0-40,5,二者毫无关联,
481,土星,关羽,宇宙,人物,cross_category,0-40,5,二者毫无关联,
482,愉快,起风了,感情,歌曲,cross_category,0-40,5,二者毫无关联,
483,计算,破釜沉舟,学科,典故,cross_category,0-40,5,二者毫无关联,
484,昆曲,圣斗士,文化,动漫,cross_category,0-40,5,二者毫无关联,
485,惊喜,猫哭耗子,情感,歇后语,cross_category,0-40,5,二者毫无关联,
486,三顾茅庐,惊恐,典故,情感,cross_category,0-40,5,二者毫无关联,
487,雨水,推挡,节日,动作,cross_category,0-40,5,二者毫无关联,
488,温柔,银魂,情感,动漫,cross_category,0-40,5,二者毫无关联,
489,孟子,触龙说赵,人物,典故,cross_category,0-40,5,二者毫无关联,
490,汉堡,计算,美食,学科,cross_category,0-40,5,二者毫无关联,
491,红移,山脊,宇宙,风景,cross_category,0-40,5,二者毫无关联,
492,古城,言叶之庭,风景,动漫,cross_category,0-40,5,二者毫无关联,
493,邮轮,惆怅,旅游,感情,cross_category,0-40,5,二者毫无关联,
494,生态,王羲之,学科,人物,cross_category,0-40,5,二者毫无关联,
495,通风,草船借箭,生活,典故,cross_category,0-40,5,二者毫无关联,
496,空间站,露营,宇宙,旅游,cross_category,0-40,5,二者毫无关联,
497,守墓人,同舟共济,狼人杀,成语,cross_category,0-40,5,二者毫无关联,
498,红猪,红豆,动漫,歌曲,cross_category,0-40,5,二者毫无关联,
499,漆器,闯关,文化,游戏,cross_category,0-40,5,二者毫无关联,
500,星游记,做题,动漫,学习,cross_category,0-40,5,二者毫无关联,
